id,name,shop,price,url
608,Laptop HP Pavilion 15-eg2034TX 6K780PA (Core™ i7-1255U | 8GB | 512GB | MX550 2GB | 15.6 inch FHD | Windows 11 | Vàng),Anphat computer,23.190.000,https://www.anphatpc.com.vn/laptop-hp-pavilion-15-eg2034tx-6k780pa.html
609,Laptop HP Pavilion 15-eg2066TU 6K7E2PA (Core™ i7-1260P | 16GB | 512 GB | 15.6 inch FHD IPS | Win 11 | Vàng),Anphat computer,22.890.000,https://www.anphatpc.com.vn/laptop-hp-pavilion-15-eg2066tu-6k7e2pa.html
610,Laptop HP Pavilion 15-eg2063TU 6K791PA (Core i3-1215U | 8GB | 256GB | UHD Graphics | 15.6 inch FHD | Windows 11 Home | Bạc),Anphat computer,13.990.000,https://www.anphatpc.com.vn/laptop-hp-pavilion-15-eg2063tu-6k791pa.html
611,Laptop HP Pavilion 15-eg2055TU 6K785PA (Core™ i7-1260P | 8GB | 512 GB | 15.6 inch FHD IPS | Win 11 | Vàng),Anphat computer,21.890.000,https://www.anphatpc.com.vn/laptop-hp-pavilion-15-eg2055tu-6k785pa.html
612,Laptop HP Pavilion 15-eg2036TX 6K782PA (Core™ i5-1235U | 8GB | 512GB | MX550 2GB | 15.6 inch FHD IPS | Win 11 | Bạc),Anphat computer,19.290.000,https://www.anphatpc.com.vn/laptop-hp-pavilion-15-eg2036tx-6k782pa.html
613,Laptop HP Pavilion 15-eg2059TU 6K789PA (Core i5-1240P | 8GB | 256GB | Intel Iris Xe | 15.6 inch FHD | Windows 11 | Bạc),Anphat computer,16.590.000,https://www.anphatpc.com.vn/laptop-hp-pavilion-15-eg2059tu-6k789pa.html
614,Laptop HP Pavilion 15-eg2038TX 6K784PA (Core™ i5-1235U | 8GB | 256GB | MX550 2GB | 15.6 inch FHD IPS | Win 11 | Bạc),Anphat computer,18.190.000,https://www.anphatpc.com.vn/laptop-hp-pavilion-15-eg2038tx-6k784pa.html
615,Laptop HP PROBOOK 440 G9 6M0X3PA (Core i5-1235U | 8GB | 512GB | Intel Iris Xe | 14 inch FHD | IPS | Win11 | Bạc),Anphat computer,19.990.000,https://www.anphatpc.com.vn/laptop-hp-probook-440-g9-6m0x3pa.html
616,Laptop HP Probook 440 G9 6M0X8PA (Core i7-1255U | 16GB | 512GB | Intel Iris Xe | 14 inch FHD | IPS | Win11 | Bạc),Anphat computer,25.590.000,https://www.anphatpc.com.vn/laptop-hp-probook-440-g9-6m0x8pa.html
617,Laptop HP 14s-dq5054TU 6R9M7PA (Core i5-1235U | 8GB | 256GB | Intel Iris Xe | 14 inch HD | Win 11 | Bạc),Anphat computer,15.190.000,https://www.anphatpc.com.vn/laptop-hp-14s-dq5054tu-6r9m7pa.html
618,Laptop HP 14s-dq5053TU 6R9M6PA (Core i5-1235U | 8GB | 512GB | Intel Iris Xe | 14 inch HD | Win 11 | Bạc),Anphat computer,16.190.000,https://www.anphatpc.com.vn/laptop-hp-14s-dq5053tu-6r9m6pa.html
619,Laptop HP 14s-dq5052TU 6T6R2PA (Core i7-1260P | 8GB | 512GB | Intel Iris Xe | 14 inch HD | Win 11 | Bạc),Anphat computer,18.390.000,https://www.anphatpc.com.vn/laptop-hp-laptop-14s-dq5052tu-6t6r2pa.html
620,Laptop HP EliteBook x360 1030 G8 634M2PA (Core i7-1165G7 | 16GB | 1TB | Intel Iris Xe | 13.3 inch FHD | Cảm ứng | Win 11 Pro | Bạc),Anphat computer,48.490.000,https://www.anphatpc.com.vn/laptop-hp-elitebook-x360-1030-g8-634m2pa.html
621,Laptop HP EliteBook 630 G9 6M143PA (Core i5-1235U | 8GB | 512GB | Intel Iris Xe | 13.3 inch FHD | Win 11 | Bạc),Anphat computer,21.590.000,https://www.anphatpc.com.vn/laptop-hp-elitebook-630-g9-6m143pa.html
622,Laptop HP EliteBook 630 G9 6M145PA (Core i7-1255U | 8GB | 512GB | Intel Iris Xe | 13.3 inch FHD | Win11 | Bạc),Anphat computer,25.690.000,https://www.anphatpc.com.vn/laptop-hp-elitebook-630-g9-6m145pa.html
623,Laptop HP Probook 450 G9 6M0Y9PA (Core i5-1235U | 8GB | 512GB | Intel Iris Xe | 15.6 inch FHD | Win 11 | Bạc),Anphat computer,20.990.000,https://www.anphatpc.com.vn/laptop-hp-probook-450-g9-6m0y9pa.html
624,Laptop HP Probook 450 G9 6M0Z9PA (Core i7-1255U | 16GB | 512GB | Intel Iris Xe | 15.6 inch FHD | Win 11 | Bạc),Anphat computer,25.990.000,https://www.anphatpc.com.vn/laptop-hp-probook-450-g9-6m0z9pa.html
625,Laptop HP Envy 16-h0034TX 6K7G0PA (Core i7-12700H | 16GB | 512GB | RTX 3060 6GB | 16 inch WQXGA IPS 120Hz | Win 11 | Bạc),Anphat computer,46.990.000,https://www.anphatpc.com.vn/laptop-hp-envy-16-h0034tx-6k7g0pa.html
626,Laptop HP Elite x360 830 6Z963PA (Core™ i7-1255U | 8GB | 512GB | Iris® Xᵉ Graphics | 13.3inch WUXGA | Windows 11 Pro | Bạc),Anphat computer,38.490.000,https://www.anphatpc.com.vn/laptop-hp-elite-x360-830-6z963pa.html
627,Laptop HP EliteBook 1040 G9 6Z985PA (Core i7-1255U | 16GB | 1TB | Intel Iris Xe | 14inch WUXGA | Win 11 Pro | Bạc),Anphat computer,44.990.000,https://www.anphatpc.com.vn/laptop-hp-elitebook-1040-g9-6z985pa.html
628,Laptop HP EliteBook 640 G9 6M158PA (Core i7-1255U | 16GB | 512GB | Intel Iris Xe |14 inch FHD | Win 11 | Bạc),Anphat computer,25.490.000,https://www.anphatpc.com.vn/laptop-hp-elitebook-640-g9-6m158pa.html
