Product,Price,Brand,Core,RAM,ScrSize,GraphicCard,Drive_Type,Capacity,OperSystem,Weight,Madein,Since,Shop,URL
Laptop Gigabyte G5 KD-52VN123SO (i5-11400H) (Đen),24990000,GIGABYTE,"Intel Core i5-11400H ( 2.7 GHz - 4.5 GHz / 12MB / 6 nhân, 12 luồng ) i5-11400H",8,15.6,RTX 3060  6GB  GDDR6 / Intel UHD Graphics,SSD,512,Windows 11 Home SL  Windows 11,2.2,,,Phongvu,https://phongvu.vn/laptop-gigabyte-g5-kd-52vn123so-den--s220304759?sku=220304759
Laptop HP Pavilion Aero 13-be0229AU (64U91PA) (AMD Ryzen 7 5800U) (Bạc),23090000,HP,"AMD Ryzen 7 5800U ( 1.9 GHz - 4.4 GHz / 16MB / 8 nhân, 16 luồng ) Ryzen 7 5800U",8,13.3,Onboard  AMD Radeon Graphics,SSD,512,Windows 11 Home  Windows 11,0.9,,,Phongvu,https://phongvu.vn/laptop-hp-pavilion-aero-13-be0229au-bac--s220400253?sku=220400253
Laptop MSI Alpha 15 B5EEK-205VN (AMD Ryzen 7 5800H) (Đen),27690000,MSI,"Ryzen 7 5800H ( 3.2 GHz - 4.4 GHz / 16MB / 8 nhân, 16 luồng ) Ryzen 7 5800H",8,15.6,RX 6600M  8GB  GDDR6 / AMD Radeon Graphics,SSD,512,Windows 11 Home  Windows 11,2.4,,,Phongvu,https://phongvu.vn/laptop-msi-alpha-15-b5eek-205vn-den--s220500084?sku=220500084
Laptop Lenovo IdeaPad Gaming 3 15ACH6-82K2010GVN (AMD Ryzen 5 5600H) (Đen),20390000,Lenovo,"AMD Ryzen 5 5600H ( 3.3 GHz - 4.2 GHz / 16MB / 6 nhân, 12 luồng ) Ryzen 5 5600H",8,15.6,RTX 3050Ti  4GB  GDDR6 / AMD Radeon Graphics,SSD,512,Windows 11 Home SL  Windows 11,2.3,,,Phongvu,https://phongvu.vn/laptop-lenovo-ideapad-gaming-3-15ach6-82k2010gvn--s220500183?sku=220500183
Laptop Asus ROG Zephyrus G15 GA503RM-LN006W (AMD Ryzen 7 6800HS) (Xám),41790000,ASUS,"AMD Ryzen 7 6800HS ( 3.2 GHz - 4.7 GHz / 16MB / 8 nhân, 16 luồng ) Ryzen 7 6800HS",8,15.6,RTX 3060  6GB  GDDR6 / AMD Radeon 680M,SSD,512,Windows 11 Home  Windows 11,1.9,,,Phongvu,https://phongvu.vn/asus-rog-zephyrus-g15-ga503rm-ln006w--s220503384?sku=220503384
Laptop Lenovo Yoga 7 14ACN6-82N7008VVN (AMD Ryzen 7 5800U) (Xám),23090000,Lenovo,"AMD Ryzen 7 5800U ( 1.9 GHz - 4.4 GHz / 16MB / 8 nhân, 16 luồng ) Ryzen 7 5800U",8,14,Onboard  AMD Radeon Graphics,SSD,512,Windows 11 Home  Windows 11,1.5,,,Phongvu,https://phongvu.vn/laptop-lenovo-yoga-7-14acn6-82n7008vvn--s220605621?sku=220605621
Laptop HP 14s-dq2620TU (6K774PA) (i3 1115G4) (Bạc),11190000,HP,"Intel Core i3-1115G4 ( 3.0 GHz - 4.10 GHz / 6MB / 2 nhân, 4 luồng ) i3-1115G4",1 x 4GB  DDR4  3200MHz ( 2 Khe cắm,14,Onboard  Intel UHD Graphics,SSD,256,Windows 11 Home SL  Windows 11,1.35,,,Phongvu,https://phongvu.vn/laptop-hp-14s-dq2620tu-6k774pa--s220610047?sku=220610047
Laptop Asus  X1402Z X1402ZA-EK084W (i5-1240P) (Bạc),16490000,ASUS,"Intel Core i5-1240P ( 1.7 GHz - 4.4GHz / 12MB / 12 nhân, 16 luồng ) i5-1240P",8,14,Onboard  Intel Iris Xe Graphics,SSD,256,Windows 11 Home  Windows 11,1.5,,,Phongvu,https://phongvu.vn/asus-vivobook-x1402z--s220700062?sku=220700062
Laptop LG Gram 16ZD90Q-G.AX55A5 ( i5-1240P) (Đen),36090000,LG,"Intel Core i5-1240P ( 1.7 GHz - 4.4 GHz / 12MB / 12 nhân, 16 luồng ) i5-1240P",16,16,Onboard  Intel Iris Xe Graphics,SSD,512,Free DOS  Free DOS,1.2,,,Phongvu,https://phongvu.vn/laptop-lg-gram-16zd90q-g-ax55a5--s220707618?sku=220707618
Laptop Gigabyte U4 UD-50VN823SO ( i5-1155G7) (Xám),15990000,GIGABYTE,"Intel Core i5-1155G7 ( 2.5 GHz - 4.5 GHz / 8MB / 4 nhân, 8 luồng ) i5-1155G7",8,14,Onboard  Intel Iris Xe Graphics,SSD,512,Windows 11 Home SL  Windows 11,1,,,Phongvu,https://phongvu.vn/laptop-gigabyte-u4-ud-50vn823so--s220800175?sku=220800175
Laptop HP 240 G9 (6L1Y4PA) (i7-1255U) (Bạc),19890000,HP,"Intel Core i7-1255U ( 1.7 GHz - 4.7GHz / 12MB / 10 nhân, 12 luồng ) i7-1255U",8,14,Onboard  Intel Iris Xe Graphics,SSD,256,Windows 11 Home SL  Windows 11,1.4,,,Phongvu,https://phongvu.vn/laptop-hp-240-g9-6l1y4pa--s220800859?sku=220800859
