Product,Price,Brand,Core,RAM,ScrSize,GraphicCard,Drive_Type,Capacity,OperSystem,Weight,Madein,Since,Shop,URL
Laptop Lenovo Ideapad 3 15ITL6 i3 1115G4/8GB/256GB/Win11 (82H8005CVN),10290000,Lenovo,Intel Core i3 Tiger Lake,8,15.6,Card tích hợp - Intel UHD Graphics,SSD,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2280) / 512 GB (2242))",Windows 11 Home SL,1.65,,2021,Dienmayxanh,https://www.dienmayxanh.com/laptop/lenovo-ideapad-3-15itl6-i3-82h8005cvn
Laptop HP 15s fq5078TU i5 1235U/8GB/512GB/Win11 (6K798PA),18190000,HP,Intel Core i3 Tiger Lake,8,15.6,Card tích hợp - Intel Iris Xe Graphics,SSD,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB (Gen 3))",Windows 11 Home SL,1.69,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/hp-15s-fq5078tu-i5-6k798pa
Laptop Acer Aspire 3 A315 58 52KT i5 1135G7/8GB/512GB/Win11 (NX.AM0SV.006),14990000,Acer,Intel Core i5 Tiger Lake,8,15.6,Card tích hợp - Intel Iris Xe Graphics,SSD,Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB),Windows 11 Home SL,1.7,,2021,Dienmayxanh,https://www.dienmayxanh.com/laptop/acer-aspire-3-a315-58-52kt-i5-nxam0sv006
Laptop Lenovo ThinkBook 14 G3 ACL R5 5500U/8GB/512GB/Win11 (21A200CPVN),13990000,Lenovo,AMD Ryzen 5,8,14,Card tích hợp - AMD Radeon Graphics,SSD,Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 2 TB),Windows 11 Home SL,1.4,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/lenovo-thinkbook-14-g3-acl-r5-21a200cpvn
Laptop HP 340s G7 i3 1005G1/4GB/256GB/Win10 (240Q4PA),9490000,HP,Intel Core i3 Ice Lake,4,14,Card tích hợp - Intel UHD Graphics,SSD,Không hỗ trợ khe cắm HDD,Windows 10 Home SL,1.38,,2020,Dienmayxanh,https://www.dienmayxanh.com/laptop/hp-340s-g7-i3-240q4pa
Laptop Dell Inspiron 16 5620 i7 1255U/8GB/512GB/OfficeHS/Win11 (N6I7110W1),25190000,Dell,Intel Core i3 Ice Lake,8,16,Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi),SSD,512 GB SSD NVMe PCIe,Windows 11 Home SL + Office Home & Student vĩnh viễn,1.87,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/dell-inspiron-16-5620-i7-n6i7110w1
Laptop Asus TUF Gaming FX517ZC i5 12450H/8GB/512GB/4GB RTX3050/144Hz/Win11 (HN077W),28990000,Asus,Intel Core i3 Ice Lake,8,15.6,"Card rời - NVIDIA GeForce RTX 3050, 4 GB",SSD,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB),Windows 11 Home SL,2,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/asus-tuf-gaming-fx517zc-i5-hn077w
Laptop Lenovo Ideapad Gaming 3 15IAH7 i5 12500H/8GB/512GB/4GB RTX3050/120Hz/Win11 (82S9007TVN),23190000,Lenovo,Intel Core i3 Ice Lake,8,15.6,"Card rời - NVIDIA GeForce RTX3050, 4 GB",SSD,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",Windows 11 Home SL,2.315,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/lenovo-ideapad-gaming-3-15iah7-i5-82s9007tvn
Laptop HP Pavilion 15 eg2056TU i5 1240P/8GB/512GB/Win11 (6K786PA),18990000,HP,Intel Core i3 Ice Lake,8,15.6,Card tích hợp - Intel Iris Xe Graphics,SSD,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB (Gen 3) / 1 TB (Gen 4))",Windows 11 Home SL,1.72,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/hp-pavilion-15-eg2056tu-i5-6k786pa
Laptop Acer Aspire A514 54 511G i5 1135G7/8GB/1TB SSD/Win11 (NX.A28SV.009),17490000,Acer,Intel Core i5 Tiger Lake,8,14,Card tích hợp - Intel Iris Xe Graphics,SSD,Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB),Windows 11 Home SL,1.46,,2021,Dienmayxanh,https://www.dienmayxanh.com/laptop/acer-aspire-a514-54-511g-i5-nxa28sv009
