id,name,shop,price,url
283,Laptop HP Pavilion 14-dv2069TU 7C0P1PA (Core i3-1215U | 8GB | 256GB | UHD Graphics | 14 inch FHD | Windows 11 | Warm Gold),Anphat computer,14.390.000 đ,https://www.anphatpc.com.vn/laptop-hp-pavilion-14-dv2069tu-7c0p1pa.html
284,Laptop HP 240 G8 6L1A1PA (Core i3-1115G4 | 8GB | 256GB | Intel UHD | 14 inch FHD | Win 10 | Bạc),Anphat computer,11.890.000 đ,https://www.anphatpc.com.vn/laptop-hp-240-g8-6l1a1pa.html
285,Laptop HP Pavilion 14-dv2070TU 7C0V9PA (Core i3-1215U | 8GB | 256GB | UHD Graphics | 14 inch FHD | Windows 11 | Natural Silver),Anphat computer,14.390.000 đ,https://www.anphatpc.com.vn/laptop-hp-pavilion-14-dv2070tu-7c0v9pa.html
286,Laptop HP Pavilion 14-dv2073TU 7C0P2PA (Core i5-1235U | 16GB | 512GB | Iris Xᵉ Graphics | 14 inch FHD | Windows 11 | Warm Gold),Anphat computer,Liên hệ,https://www.anphatpc.com.vn/laptop-hp-pavilion-14-dv2073tu-7c0p2pa.html
287,Laptop HP Pavilion 15-eg2086TU 7C0Q8PA (Core i3-1215U | 8GB | 256GB | Intel UHD | 15.6 inch FHD | Win 11 | Vàng),Anphat computer,14.490.000 đ,https://www.anphatpc.com.vn/laptop-hp-pavilion-15-eg2086tu-7c0q8pa.html
288,Laptop HP Pavilion 15-eg2088TU 7C0R0PA (Core i7-1260P | 16GB | 512GB | Intel Iris Xe | 15.6 inch FHD | Win 11 | Vàng),Anphat computer,24.490.000 đ,https://www.anphatpc.com.vn/laptop-hp-pavilion-15-eg2088tu-7c0r0pa.html
289,Laptop HP Pavilion 15-eg2089TU 7C0R1PA (Core i7-1260P | 8GB | 512GB | Intel Iris Xe | 15.6 inch FHD | Win 11 | Vàng),Anphat computer,22.990.000 đ,https://www.anphatpc.com.vn/laptop-hp-pavilion-15-eg2089tu-7c0r1pa.html
290,Laptop HP Pavilion 15-eg2083TU 7C0W9PA (Core i5-1240P | 8GB | 512GB | Intel Iris Xe | 15.6 inch FHD IPS | Win 11 | Bạc),Anphat computer,Liên hệ,https://www.anphatpc.com.vn/laptop-hp-pavilion-15-eg2083tu-7c0w9pa.html
291,Laptop HP Pavilion 14-dv2074TU 7C0P3PA (Core i5-1235U | 8GB | 512GB | Iris Xᵉ Graphics | 14 inch FHD | Windows 11 | Warm Gold),Anphat computer,Liên hệ,https://www.anphatpc.com.vn/laptop-hp-pavilion-14-dv2074tu-7c0p3pa.html
292,Laptop HP Pavilion X360 14-ek0130TU 7C0P5PA (Core i3-1215U | 8GB | 256GB | Intel UHD | 14 inch FHD | Win 11 | Vàng),Anphat computer,16.890.000 đ,https://www.anphatpc.com.vn/laptop-hp-pavilion-x360-14-ek0130tu-7c0p5pa.html
293,Laptop HP Pavilion 14-dv2075TU 7C0W2PA (Core i5-1235U | 8GB | 512GB | Iris Xᵉ Graphics | 14 inch FHD | Windows 11 | Natural Silver),Anphat computer,Liên hệ,https://www.anphatpc.com.vn/laptop-hp-pavilion-14-dv2075tu-7c0w2pa.html
294,Laptop HP Pavilion 14-dv2076TU 7C0P4PA (Core i5-1235U | 8GB | 256GB | Iris Xᵉ Graphics | 14 inch FHD | Windows 11 | Warm Gold),Anphat computer,Liên hệ,https://www.anphatpc.com.vn/laptop-hp-pavilion-14-dv2076tu-7c0p4pa.html
295,Laptop HP Pavilion 14-dv2077TU 7C0W3PA (Core i5-1235U | 8GB | 256GB | Iris Xᵉ Graphics | 14 inch FHD | Windows 11 | Natural Silver),Anphat computer,Liên hệ,https://www.anphatpc.com.vn/laptop-hp-pavilion-14-dv2077tu-7c0w3pa.html
296,Laptop HP Pavilion 14-dv2071TU 7C0W0PA (Core i7-1255U | 16GB | 512GB | Iris Xᵉ Graphics | 14 inch FHD | Windows 11 | Warm Gold),Anphat computer,Liên hệ,https://www.anphatpc.com.vn/laptop-hp-pavilion-14-dv2071tu-7c0w0pa.html
297,Laptop HP Pavilion 14-dv2072TU 7C0W1PA (Core i7-1255U | 8GB | 512GB | Iris Xᵉ Graphics | 14 inch FHD | Windows 11 | Warm Gold),Anphat computer,Liên hệ,https://www.anphatpc.com.vn/laptop-hp-pavilion-14-dv2072tu-7c0w1pa.html
298,Laptop HP 14s-dq2620TU 6K774PA (Core™ i3-1115G4 | 4GB | 256GB | Intel® UHD | 14 inch HD | Windows 11 Home | Bạc),Anphat computer,11.990.000 đ,https://www.anphatpc.com.vn/laptop-hp-14s-dq2620tu-6k774pa.html
299,Laptop HP Pavilion 15-eg2035TX 6K781PA (Core™ i5-1235U | 8GB | 512GB | MX550 2GB | 15.6 inch FHD IPS | Win 11 | Vàng),Anphat computer,20.290.000 đ,https://www.anphatpc.com.vn/laptop-hp-pavilion-15-eg2035tx-6k781pa.html
300,Laptop HP Pavilion 15-eg2037TX 6K783PA(Core™ i5-1235U | 8GB | 256GB | MX550 2GB | 15.6 inch FHD IPS | Win 11 | Vàng),Anphat computer,19.290.000 đ,https://www.anphatpc.com.vn/laptop-hp-pavilion-15-eg2037tx-6k783pa.html
301,Laptop HP PROBOOK 440 G9 6M0Q8PA (Core i3-1215U | 4GB | 256GB | Intel Iris Xe | 14 inch FHD | IPS | Win11 | Bạc),Anphat computer,Liên hệ,https://www.anphatpc.com.vn/laptop-hp-probook-440-g9-6m0q8pa.html
302,Laptop HP PROBOOK 440 G9 6M0V7PA (Core i3-1215U | 8GB | 256GB | Intel Iris Xe | 14 inch FHD | IPS | Win11 | Bạc),Anphat computer,16.390.000 đ,https://www.anphatpc.com.vn/laptop-hp-probook-440-g9-6m0v7pa.html
303,Laptop HP PROBOOK 440 G9 6M0X2PA (Core i5-1235U | 8GB | 256GB | Intel Iris Xe | 14 inch FHD | IPS | Win11 | Bạc),Anphat computer,19.290.000 đ,https://www.anphatpc.com.vn/laptop-hp-probook-440-g9-6m0x2pa.html
304,Laptop HP PROBOOK 450 G9 6M107PA (Core i7-1260P | 16GB | 512GB | Intel Iris Xe | 15.6 inch FHD | IPS | Win11 | Bạc),Anphat computer,24.990.000 đ,https://www.anphatpc.com.vn/laptop-hp-probook-450-g9-6m107pa.html
305,Laptop HP 14s-dq5052TU 6T6R2PA (Core i7-1260P | 8GB | 512GB | Intel Iris Xe | 14 inch HD | Win 11 | Bạc),Anphat computer,18.390.000 đ,https://www.anphatpc.com.vn/laptop-hp-laptop-14s-dq5052tu-6t6r2pa.html
306,Laptop HP Pavilion X360 14-ek0055TU 6L293PA (Core i7-1255U | 16GB | 512GB | Intel Iris Xe | 14 inch FHD | Cảm ứng | Win 11 | Vàng),Anphat computer,24.690.000 đ,https://www.anphatpc.com.vn/laptop-hp-pavilion-x360-14-ek0055tu-6l293pa.html
307,Laptop HP Pavilion X360 14-ek0056TU 6L294PA (Core i5-1235U | 8GB | 512GB | Intel Iris Xe | 14 inch FHD | Cảm ứng | Win 11 | Vàng),Anphat computer,Liên hệ,https://www.anphatpc.com.vn/laptop-hp-pavilion-x360-14-ek0056tu-6l294pa.html
308,Laptop HP Probook 450 G9 6M0Y8PA (Core i5-1235U | 8GB | 256GB | Intel Iris Xe | 15.6 inch FHD IPS | Win 11 | Bạc),Anphat computer,19.890.000 đ,https://www.anphatpc.com.vn/laptop-hp-probook-450-g9-6m0y8pa.html
309,Laptop HP Probook 450 G9 6M0Z8PA (Core i7-1255U | 8GB | 512GB | Intel Iris Xe | 15.6 inch FHD | Win 11 | Bạc),Anphat computer,24.990.000 đ,https://www.anphatpc.com.vn/laptop-hp-probook-450-g9-6m0z8pa.html
310,Laptop HP 240 G9 6L1Y5PA (Core™ i7-1255U | 8GB | 512GB | Iris® Xᵉ Graphics | 14 inch FHD | Windows 11 | Bạc),Anphat computer,Liên hệ,https://www.anphatpc.com.vn/laptop-hp-240-g9-6l1y5pa.html
311,Laptop HP 240 G9 6L1Y4PA(Core i7-1255U | 8GB | 256GB | Iris Xe Graphics | 14 inch FHD | Windows 11 | Bạc),Anphat computer,Liên hệ,https://www.anphatpc.com.vn/laptop-hp-240-g9-6l1y4pa.html
312,Laptop HP Pavilion 15-eg2062TU 6K790PA (Core i3-1215U | 8GB | 256GB | Intel UHD | 15.6 inch FullHD | Win 11 | Vàng),Anphat computer,14.390.000 đ,https://www.anphatpc.com.vn/laptop-hp-pavilion-15-eg2062tu-6k790pa.html
