id,name,brand,cpu,cpu_brand,ram,scrsize,gpu,gpu_brand,memory,drive_type,opersystem,weight,shop,price,url
585,Lenovo Ideapad Gaming 3 - 15ARH7 -82SB0078VN,LENOVO,AMD Ryzen 5,AMD,8,15.6,GeForce RTX3050 (4GB),Nvidia,512,SSD,Windows 11,2.3,Phongvu,22290000,https://phongvu.vn/laptop-lenovo-ideapad-gaming-3-15arh7-82sb0078vn--s220801887?sku=220801887
586,MSI GF66 12UCK-804VN,MSI,Core i7,Intel,8,15.6,GeForce RTX3050 (4GB),Nvidia,512,SSD,Windows 11,2.2,Phongvu,25890000,https://phongvu.vn/laptop-msi-gf66-12uck-804vn--s220920043?sku=220920043
587,Dell Vostro 5620-VWXVW,DELL,Core i5,Intel,8,16.0,GeForce MX570 (2GB),Nvidia,512,SSD,Windows 11,1.9,Phongvu,26290000,https://phongvu.vn/laptop-dell-vostro-5620--s220920523?sku=220920523
588,HP Envy x360 13-bf0096TU,HP,Core i5,Intel,8,13.3,Intel Iris Xe,Intel,512,SSD,Windows 11,1.3,Phongvu,27690000,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-envy-x360-13-bf0096tu-76b16pa-i5-1230u-xanh--s221003310?sku=221003310
589,HP VICTUS 16-d0204TX,HP,Core i5,Intel,8,16.1,GeForce RTX3050 (4GB),Nvidia,512,SSD,Windows 11,2.5,Phongvu,27590000,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-victus-16-d0204tx-4r0u5pa-i5-11400h-den--s211112117?sku=211112117
590,Acer Aspire 3 A315-57G-573F,ACER,Core i5,Intel,8,15.6,GeForce MX330 (2GB),Nvidia,512,SSD,Windows 11,1.9,Phongvu,14490000,https://phongvu.vn/may-tinh-xach-tay-laptop-acer-aspire-3-a315-57g-573f-nx-hzrsv-00b-i5-1035g1-den--s211200933?sku=211200933
591,Asus X515EA-BQ1006W,ASUS,Core i3,Intel,4,15.6,Intel UHD 620,Intel,512,SSD,Windows 11,1.8,Phongvu,10490000,https://phongvu.vn/asus-vivobook-x515ea-bq1006w-i3-1115g4--s211204689?sku=211204689
592,Acer Swift 3 SF314-43-R52K,ACER,AMD Ryzen 7,AMD,8,14.0,Radeon Vega,AMD,512,SSD,Windows 10,1.2,Phongvu,17990000,https://phongvu.vn/acer-swift-3-sf314-43-r52k--s220102317?sku=220102317
593,Asus A415EA-EB1750W,ASUS,Core i3,Intel,8,14.0,Intel UHD 620,Intel,256,SSD,Windows 11,1.4,Phongvu,11990000,https://phongvu.vn/asus-vivobook-a415ea-eb1750w-i3-1115g4--s220102624?sku=220102624
594,Asus TP470EA-EC347W,ASUS,Core i5,Intel,8,14.0,Intel Iris Xe,Intel,512,SSD,Windows 11,1.5,Phongvu,16990000,https://phongvu.vn/asus-vivobook-tp470ea-ec347w--s220200332?sku=220200332
595,Acer Predator Helios 300 PH315-55-76KG,ACER,Core i7,Intel,8,15.6,GeForce RTX3060 (6GB),Nvidia,512,SSD,Windows 11,2.4,Phongvu,43890000,https://phongvu.vn/laptop-acer-predator-helios-300-ph315-55-76kg-nh-qgpsv-001den--s220401543?sku=220401543
596,Lenovo Yoga 9 14IAP7-82LU006DVN,LENOVO,Core i7,Intel,16,14.0,Intel Iris Xe,Intel,512,SSD,Windows 11,1.4,Phongvu,43190000,https://phongvu.vn/laptop-lenovo-yoga-9-14iap7-82lu006dvn--s220600587?sku=220600587
597,HP Pavilion X360 14-ek0057TU,HP,Core i5,Intel,8,14.0,Intel Iris Xe,Intel,512,SSD,Windows 11,1.5,Phongvu,19790000,https://phongvu.vn/laptop-hp-pavilion-x360-14-ek0057tu-6k7e0pa--s220610045?sku=220610045
598,HP Elitebook 630 G9,HP,Core i7,Intel,8,13.3,Intel Iris Xe,Intel,512,SSD,Windows 11,1.3,Phongvu,24890000,https://phongvu.vn/laptop-hp-elitebook-630-g9-6m145pa--s220800853?sku=220800853
599,Asus M1403QA-LY023W,ASUS,AMD Ryzen 5,AMD,8,14.0,Radeon Vega,AMD,512,SSD,Windows 11,1.6,Phongvu,14990000,https://phongvu.vn/asus-vivobook-m1403qa-ly023w--s220801571?sku=220801571
600,Asus Vivobook A1403ZA-KM067W,ASUS,Core i5,Intel,8,14.0,Intel Iris Xe,Intel,256,SSD,Windows 11,1.6,Phongvu,18590000,https://phongvu.vn/asus-vivobook-a1403za-km067w--s220801587?sku=220801587
601,Lenovo Legion 5 15IAH7H-82RB0047VN,LENOVO,Core i7,Intel,8,15.6,GeForce RTX3060 (6GB),Nvidia,512,SSD,Windows 11,2.4,Phongvu,40790000,https://phongvu.vn/laptop-lenovo-legion-5-15iah7h-82rb0047vn--s220806150?sku=220806150
602,Asus TUF Gaming FX517ZE-HN888W,ASUS,Core i7,Intel,8,15.6,GeForce RTX3050Ti (4GB),Nvidia,512,SSD,Windows 11,2.0,Phongvu,27590000,https://phongvu.vn/may-tinh-xach-tay-laptop-asus-tuf-gaming-fx517ze-hn888w-i7-12650h-den--s221003827?sku=221003827
603,HP Pavilion 15-eg2083TU,HP,Core i5,Intel,8,15.6,Intel Iris Xe,Intel,512,SSD,Windows 11,1.7,Phongvu,18590000,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-pavilion-15-eg2083tu-7c0w9pa-i5-1240p-bac--s221101881?sku=221101881
604,HP 240 G8,HP,Core i3,Intel,4,14.0,Intel UHD 620,Intel,512,SSD,Windows 10,1.4,Phongvu,8990000,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-240-g8-519a5pa-i3-1005g1-bac--s220100802?sku=220100802
605,HP 240 G8,HP,Core i5,Intel,4,14.0,Intel Iris Xe,Intel,512,SSD,Windows 11,1.4,Phongvu,13990000,https://phongvu.vn/laptop-nb-hp-240-g8-617l3pa--s220300340?sku=220300340
606,HP OMEN 16-b0178TX,HP,Core i5,Intel,8,16.1,GeForce RTX3050Ti (4GB),Nvidia,512,SSD,Windows 11,2.3,Phongvu,34490000,https://phongvu.vn/hp-omen-16-b0178tx-5z9q9pa--s220302883?sku=220302883
607,Asus TUF Gaming FX706HC-HX105W,ASUS,Core i5,Intel,8,17.3,GeForce RTX3050 (4GB),Nvidia,512,SSD,Windows 11,2.6,Phongvu,21490000,https://phongvu.vn/asus-tuf-gaming-fx706hc-hx105w--s220400071?sku=220400071
