id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
787867,1705844010626,"Bộ Túi Hộp Cơm Thủy Tinh Chịu Nhiệt 4EA Lock&Lock LLG821BS3 có thiết kế gọn nhẹ, thích hợp dùng để đựng thức ăn đi học, đi làm hay dã ngoạThố dạng...",320000,636000,,316000,50,1045,,available,,1000,1000,,48077,Lock&Lock
33067171,4872857223507,"Áo mưa dây kéo vải dù tổ ong chống thấm nhiều màu,chất vải dù siêu nhẹ ,thích hợp cho cả nam và nữ.Kiểu dáng nhỏ gọn, màu sắc tươi sáng, gọn nhẹ, dễ dàng gấp gọn bảo quản.Thiết kế to, rộng mà không nặ...",119000,119000,,0,0,485,,available,,1000,1000,,111461,OEM
71342375,1905798381616,"Giao Màu - Mẫu ngẫu nhiên, bao bì mẫu mã có thể thay đổi theo từng đợt sản xuất. Quần áo di mưa dành cho trẻ em giúp bảo vệ các bé tốt nhất trong những ngày mưa.                      Giữ ấm cho cơ...",90000,90000,,0,0,46,,available,,1000,1000,,837855,XUDI
116811832,4916640823555,Cốc Giữ Nhiệt Coffeeholic Inox 304 Dung Tích 510ml Cao Cấp Kiểu Dáng Hàn Quốc Cầm Tay Sang Trọng BNG07Thông tin sản phẩm Cốc giữ nhiệt Coffee Holic: ️ Chất liệu: lõi inox 304 an toàn️ Nắp làm bằng...,150000,270000,,120000,44,370,,available,,1000,1000,,892751,TAKIHA
87302519,3585139718987,Từ lâu gối tựa lưng đã trở thành vật dụng thân thiết với nhiều gia đình.gối vuông trang trí cho sofa thêm xinh .gối tựa lưng còn bảo vệ trọn vẹn khung xương của bạn.Đặc tính sản phẩmNgoài kích thước v...,75000,75000,,0,0,20,,available,,1000,1000,,111461,OEM
195852183,6345258326968,Bình giữ nhiệt bằng thép không gỉ LocknLock Jumbo Tumbler LHC4300 có:Dung tích bình lơn (900 ml) Quai xách chống trượt Miệng bình rộng dễ dàng cho đá vào và dễ dàng chùi rửa Có khay lọc ngăn đá ho...,430000,730000,,300000,41,37,,available,,1000,1000,,48077,Lock&Lock
117353723,8574020376721,"Chiếu ngủ văn phòng cao cấp Chất liệu nhựa 2 lớp: lớp mút và lớp bạc êm ái Gọn nhẹ, dễ dàng mang theo khi đi dã ngoại, văn phòng Xếp gọn và vệ sinh dễ dàng Cho giấc ngủ trưa ngon, không nóng bức  ...",40000,40000,,0,0,263,,available,,1000,1000,,293033,Krishna
3927949,5261973592625,"THÔNG TIN SẢN PHẨMTên máy: Máy sạc pin Energizer Recharge kèm 2 pin TRAY Energizer AA 2000mAhXuất xứ: Chính hãng EnergizerNhà sản xuất: Shenzhen Highpower Technology CO., LTD.Sạc pin: Sạc 2-4 pin ...",430000,460000,,30000,7,186,,available,,1000,1000,,19312,Energizer
199121470,7655860191190, Đóng gói:  1 dây đèn led ruy băng️ Tính năng Dây ruy băng gồm một dải lụa bên trong có dây đèn led đom đóm phù hợp để trang trí các món quà hoặc quấn quanh cây thông Noel. Sử dụng đèn Led không tỏa ...,40000,40000,,0,0,0,,available,,1000,1000,,5706641,NAVIVU
120481094,5748281392170,"CÔNG DỤNG CỦA GỐI KÊ CỔ CAO SU NON EMANâng đỡ cổ, giảm áp lực lên vùng cổ vai gáy từ đó giảm đau mỏi mỗi khi phải ngồi lâuTạo cảm giác thu giãn thoải mái ôm trọn cổ như đang được massageĐIỂM NỔI ...",168300,340000,,171700,51,51,,available,,1000,1000,,3955813,Ema
195791850,3305914892920,"Chất liệu cao cấp, kiểu dáng bắt mắtChảo chống dính Ultra titanium Sunhouse STB được thiết kế đẹp mắt với mặt ngoài màu đen nhũ sang trọng và tinh tế, có khả năng hạn chế trầy xước và bám bẩn. Thiết ...",415000,560000,,145000,26,13,,available,,1000,1000,,41048,Sunhouse
141143706,4370540957706,Tính Năng Nổi Bật: - Vật Liệu Cao Cấp: Ly giữ nhiệt được làm từ thép thực phẩm 18/8 và thép không gỉ 304 giúp giữ nhiệt độ của đồ uống lâu hơn và giữ trọn vẹn hương vị đồ uống.- Thiết kế 2 vách chân...,249000,349000,,100000,29,71,,available,,1000,1000,,363961,Rinfere
104681142,4156275362497,      *Thông số kỹ t...,79000,99000,,20000,20,209,,available,,1000,1000,,3807547,MyJae
162238988,7410272132036,"Mùng Chụp/Màn Chụp Tự Bung Không Đáy Chống Muỗi Giá Rẻ Thương Hiệu miDoctor (Sản Xuất 100% Tại Việt Nam Mùng Chụp, Màn Chụp Tự Bung Không Đáy Chống Muỗi Cao Cấp Thương Hiệu miDoctor - Hàng Chính H...",145000,230000,,85000,37,74,,available,,1000,1000,,245945,miDoctor
